passenger_id,name,sex,age,role,ship,destination,clan_origin,armor,provisions_kg,family_aboard,prior_voyages,survived
74,Eirik Grimsson,Male,46.0,Karl,Drakvinge,Miklagard,Borg,Leather,21.1,2,3,0
75,Jorunn Ulfsdóttir,Female,47.0,Karl,Bison,Vinland,Nidaros,None,27.1,0,1,0
76,Styrbjörn Ragnarsson,Male,18.0,Hirdman,Hrafnkell,Miklagard,Nidaros,None,14.1,2,3,1
77,Finn Grimsson,Male,27.0,Karl,Bison,Miklagard,Kaupang,Leather,9.4,1,4,1
78,Runa Ulfsdóttir,Female,33.0,Karl,Sjøulven,Normandy,Kaupang,,79.3,1,1,0
79,Gudrun Arnesdóttir,Female,41.0,Hirdman,Bison,Iceland,Nidaros,Chainmail,20.4,1,4,1
80,Sigurd Torsteinsson,Male,42.0,Karl,Ormen Lange,Miklagard,Nidaros,None,81.7,0,0,0
81,Jarle Torsteinsson,Male,36.0,Karl,Drakvinge,Iceland,Borg,Leather,33.3,2,1,0
82,Styrbjörn Ulfsson,Male,,Karl,Ormen Lange,Lindisfarne,Borg,,24.2,2,2,0
83,Jarle Torsteinsson,Male,30.0,Karl,Ormen Lange,Lindisfarne,Nidaros,None,16.4,0,2,1
84,Gunnar Ragnarsson,Male,19.0,Karl,Drakvinge,Normandy,Nidaros,Leather,20.9,1,1,0
85,Thyra Sigurdsdóttir,Female,25.0,Hirdman,Hrafnkell,Normandy,Kaupang,Chainmail,5.2,1,3,1
86,Ketil Sigurdsson,Male,,Karl,Bison,Iceland,Nidaros,,2.0,2,1,0
87,Thyra Ulfsdóttir,Female,33.0,Hirdman,Ormen Lange,Lindisfarne,Nidaros,Leather,112.8,1,7,1
88,Styrbjörn Haraldsson,Male,,Karl,Sjøulven,Lindisfarne,Nidaros,Leather,5.2,1,2,0
89,Bjørn Torsteinsson,Male,35.0,Hirdman,Hrafnkell,Vinland,Nidaros,Chainmail,8.1,0,6,0
90,Jorunn Bjørnsdóttir,Female,37.0,Karl,Ormen Lange,Iceland,Nidaros,Leather,20.0,0,2,1
91,Finn Bjørnsson,Male,31.0,Karl,Drakvinge,Lindisfarne,Borg,Leather,82.1,1,3,1
92,Håkon Sigurdsson,Male,27.0,Hirdman,Sjøulven,Normandy,Borg,Chainmail,267.3,0,3,0
93,Runa Bjørnsdóttir,Female,40.0,Karl,Sjøulven,Normandy,Nidaros,None,54.0,1,1,0
94,Runa Torsteinsdóttir,Female,20.0,Thrall,Hrafnkell,Normandy,Kaupang,None,21.8,1,0,1
95,Grim Ketilsson,Male,17.0,Hirdman,Bison,Iceland,Nidaros,None,12.9,0,3,1
96,Erling Ketilsson,Male,40.0,Karl,Ormen Lange,Normandy,Nidaros,Leather,8.3,1,0,0
97,Solveig Torsteinsdóttir,Female,14.0,Karl,Bison,Iceland,,None,25.2,2,3,1
98,Olav Ragnarsson,Male,15.0,Thrall,Bison,Iceland,Nidaros,None,18.3,0,0,0
99,Sven Grimsson,Male,27.0,Hirdman,Ormen Lange,Iceland,Kaupang,Chainmail,51.9,1,7,1
100,Helga Arnesdóttir,Female,28.0,Hirdman,Ormen Lange,Vinland,Nidaros,Leather,2.1,0,2,1
101,Erling Bjørnsson,Male,,Thrall,Drakvinge,Vinland,Nidaros,None,2.7,0,1,0
102,Arne Torsteinsson,Male,42.0,Karl,Ormen Lange,Miklagard,Nidaros,Leather,14.2,1,4,0
103,Astrid Arnesdóttir,Female,22.0,Karl,Drakvinge,Lindisfarne,Nidaros,Leather,14.1,2,2,1
104,Ragnar Haraldsson,Male,,Karl,Drakvinge,Normandy,Nidaros,None,12.4,0,0,0
105,Hilde Bjørnsdóttir,Female,,Karl,Hrafnkell,Normandy,Kaupang,,7.9,0,1,1
106,Trygve Ketilsson,Male,31.0,Karl,Hrafnkell,Normandy,Borg,Leather,20.9,1,2,1
107,Dag Torsteinsson,Male,,Hirdman,Hrafnkell,Iceland,Borg,,41.5,1,5,1
108,Håkon Torsteinsson,Male,33.0,Karl,Drakvinge,Miklagard,Nidaros,None,15.7,2,2,0
109,Sigurd Haraldsson,Male,34.0,Karl,Hrafnkell,Miklagard,Nidaros,None,33.3,3,2,1
110,Eirik Torsteinsson,Male,8.0,Thrall,Sjøulven,Normandy,Kaupang,None,2.0,1,0,0
111,Bjørn Sigurdsson,Male,32.0,Karl,Bison,Normandy,Kaupang,Leather,3.1,1,0,0
112,Ingrid Bjørnsdóttir,Female,37.0,Karl,Drakvinge,Iceland,Nidaros,None,8.5,0,3,1
113,Gunnar Ketilsson,Male,40.0,Karl,Ormen Lange,Iceland,Nidaros,None,2.7,2,3,0
114,Ingrid Bjørnsdóttir,Female,25.0,Thrall,Sjøulven,Normandy,Nidaros,None,2.0,1,0,0
115,Runa Haraldsdóttir,Female,30.0,Karl,Ormen Lange,Normandy,Borg,Leather,54.9,1,0,1
116,Ingrid Ragnarsdóttir,Female,29.0,Karl,Hrafnkell,Normandy,,None,6.5,0,3,1
117,Sigurd Ragnarsson,Male,36.0,Karl,Drakvinge,Lindisfarne,Borg,,2.0,0,1,0
118,Sigurd Ketilsson,Male,49.0,Jarl,Sjøulven,Normandy,Borg,Chainmail,13.8,0,5,1
119,Erling Torsteinsson,Male,16.0,Karl,Drakvinge,Normandy,Borg,None,21.1,0,0,0
120,Aud Bjørnsdóttir,Female,24.0,Karl,Drakvinge,Lindisfarne,Nidaros,None,24.7,2,0,0
121,Jorunn Sigurdsdóttir,Female,18.0,Thrall,Drakvinge,Miklagard,Kaupang,None,7.7,0,1,0
122,Asbjørn Haraldsson,Male,32.0,Karl,Sjøulven,Normandy,Borg,None,29.5,0,3,0
123,Sven Ragnarsson,Male,16.0,Thrall,Sjøulven,Miklagard,Kaupang,None,33.1,4,0,0
124,Thorvald Ulfsson,Male,30.0,Karl,Hrafnkell,Miklagard,Nidaros,None,54.8,0,3,0
125,Styrbjörn Torsteinsson,Male,33.0,Hirdman,Drakvinge,Normandy,Kaupang,Leather,9.1,1,4,1
126,Thorvald Ormsson,Male,,Jarl,Bison,Normandy,Nidaros,Chainmail,109.3,0,1,1
127,Håkon Bjørnsson,Male,32.0,Hirdman,Drakvinge,Vinland,Nidaros,Chainmail,18.6,0,3,1
128,Jarle Torsteinsson,Male,25.0,Karl,Hrafnkell,Vinland,Kaupang,None,13.0,0,3,0
129,Bjørn Torsteinsson,Male,23.0,Thrall,Ormen Lange,Miklagard,Nidaros,,7.0,0,0,0
130,Styrbjörn Torsteinsson,Male,32.0,Karl,Sjøulven,Vinland,Nidaros,Leather,12.9,1,1,0
131,Halvor Haraldsson,Male,11.0,Karl,Sjøulven,Normandy,Nidaros,Leather,4.1,0,4,0
132,Freya Ragnarsdóttir,Female,23.0,Thrall,Ormen Lange,Vinland,Nidaros,None,2.0,2,0,0
133,Sigurd Ragnarsson,Male,32.0,Karl,Ormen Lange,Iceland,Nidaros,None,22.2,0,1,0
134,Orm Grimsson,Male,44.0,Karl,Ormen Lange,Miklagard,Nidaros,None,9.2,0,0,0
135,Arne Ormsson,Male,28.0,Karl,Ormen Lange,Iceland,Nidaros,Leather,8.1,3,2,0
136,Rollo Bjørnsson,Male,32.0,Karl,Sjøulven,Iceland,Kaupang,None,5.3,1,2,0
137,Håkon Ormsson,Male,18.0,Thrall,Drakvinge,Miklagard,Borg,None,3.3,2,0,0
138,Orm Ulfsson,Male,28.0,Karl,Drakvinge,Miklagard,Nidaros,Leather,2.0,2,2,0
139,Erling Ketilsson,Male,23.0,Thrall,Bison,Vinland,Nidaros,None,11.2,1,0,0
140,Ulf Ketilsson,Male,26.0,Karl,Sjøulven,Vinland,Nidaros,None,27.8,0,1,0
141,Bjørn Grimsson,Male,26.0,Karl,Bison,Iceland,Kaupang,None,32.5,0,0,0
142,Sigurd Haraldsson,Male,35.0,Karl,Sjøulven,Miklagard,Nidaros,Leather,45.0,4,1,0
143,Finn Grimsson,Male,31.0,Hirdman,Bison,Iceland,Borg,Leather,115.7,0,3,1
144,Håkon Ulfsson,Male,28.0,Hirdman,Hrafnkell,Vinland,Nidaros,,7.7,0,4,0
145,Sigurd Grimsson,Male,29.0,Jarl,Ormen Lange,Iceland,Borg,Chainmail,9.6,0,4,1
146,Torstein Ketilsson,Male,26.0,Thrall,Sjøulven,Normandy,Borg,None,8.6,2,1,0
147,Sigurd Ragnarsson,Male,42.0,Karl,Drakvinge,Normandy,Nidaros,None,16.2,0,4,0
148,Trygve Haraldsson,Male,27.0,Hirdman,Bison,Normandy,Nidaros,,14.0,0,2,0
149,Jarle Ulfsson,Male,46.0,Jarl,Bison,Lindisfarne,Nidaros,Lamellar,33.7,0,9,1
150,Sigrid Ragnarsdóttir,Female,,Karl,Bison,Normandy,Borg,,6.0,2,0,1
151,Thyra Ulfsdóttir,Female,39.0,Thrall,Ormen Lange,Lindisfarne,Borg,None,2.0,1,0,1
152,Thyra Sigurdsdóttir,Female,32.0,Hirdman,Drakvinge,Lindisfarne,Nidaros,Chainmail,25.5,2,2,1
153,Ulf Ulfsson,Male,41.0,Thrall,Drakvinge,Iceland,Borg,None,2.0,0,1,0
154,Styrbjörn Haraldsson,Male,28.0,Thrall,Drakvinge,Lindisfarne,Borg,None,2.0,2,0,0
155,Olav Sigurdsson,Male,,Hirdman,Bison,Normandy,Borg,Leather,84.1,0,5,1
156,Eirik Ketilsson,Male,39.0,Karl,Ormen Lange,Iceland,Kaupang,None,6.8,0,0,0
157,Hilde Ketilsdóttir,Female,19.0,Thrall,Ormen Lange,Lindisfarne,Kaupang,None,2.8,2,0,0
158,Asbjørn Bjørnsson,Male,21.0,Karl,Hrafnkell,Miklagard,Nidaros,None,6.5,0,2,0
159,Gunnhild Sigurdsdóttir,Female,26.0,Thrall,Hrafnkell,Lindisfarne,Nidaros,None,14.3,0,0,0
160,Ivar Bjørnsson,Male,25.0,Karl,Ormen Lange,Iceland,Kaupang,None,13.9,0,0,0
161,Rollo Bjørnsson,Male,35.0,Hirdman,Hrafnkell,Iceland,Borg,Leather,17.7,2,5,1
162,Arne Torsteinsson,Male,15.0,Karl,Hrafnkell,Vinland,Borg,,2.0,1,1,0
163,Bjørn Ragnarsson,Male,28.0,Karl,Hrafnkell,Vinland,Nidaros,,25.8,1,2,0
164,Grim Ketilsson,Male,44.0,Jarl,Ormen Lange,Iceland,Borg,Chainmail,12.9,1,5,1
165,Ragnhild Ragnarsdóttir,Female,,Karl,Sjøulven,Miklagard,Kaupang,Leather,12.9,0,1,1
166,Solveig Arnesdóttir,Female,34.0,Thrall,Ormen Lange,Lindisfarne,Nidaros,None,9.2,1,0,1
167,Harald Torsteinsson,Male,22.0,Karl,Ormen Lange,Normandy,Borg,None,7.0,0,0,0
168,Grim Ketilsson,Male,25.0,Karl,Drakvinge,Iceland,Nidaros,Leather,65.1,2,2,1
169,Ulf Haraldsson,Male,17.0,Karl,Bison,Iceland,Nidaros,,3.0,1,2,0
170,Orm Bjørnsson,Male,36.0,Karl,Drakvinge,Normandy,Nidaros,,2.0,2,0,0
171,Runa Haraldsdóttir,Female,25.0,Thrall,Drakvinge,Lindisfarne,Nidaros,,2.7,2,0,1
172,Runa Sigurdsdóttir,Female,20.0,Thrall,Bison,Miklagard,Nidaros,,3.6,1,0,0
173,Grim Ulfsson,Male,,Jarl,Drakvinge,Miklagard,Nidaros,Lamellar,266.7,2,3,1
174,Dag Sigurdsson,Male,19.0,Karl,Sjøulven,Vinland,Borg,,14.0,0,2,0
175,Harald Sigurdsson,Male,26.0,Hirdman,Ormen Lange,Vinland,Nidaros,Leather,19.4,1,1,0
176,Bjørn Haraldsson,Male,40.0,Jarl,Hrafnkell,Vinland,Nidaros,,5.1,3,3,1
177,Gunnar Ormsson,Male,22.0,Thrall,Hrafnkell,Normandy,Nidaros,None,2.0,1,0,0
178,Ulf Ormsson,Male,49.0,Karl,Hrafnkell,Vinland,Borg,None,2.0,1,4,0
179,Runa Ketilsdóttir,Female,,Karl,Hrafnkell,Iceland,Nidaros,None,8.1,1,0,1
180,Ketil Ragnarsson,Male,36.0,Karl,Ormen Lange,Lindisfarne,Nidaros,Leather,15.5,4,4,1
181,Thyra Ulfsdóttir,Female,31.0,Karl,Drakvinge,Iceland,Nidaros,,5.3,2,3,1
182,Arne Ketilsson,Male,,Hirdman,Drakvinge,Normandy,Kaupang,,50.7,1,7,1
183,Ketil Ragnarsson,Male,,Jarl,Hrafnkell,Miklagard,Nidaros,Chainmail,169.5,1,5,1
184,Sigurd Ormsson,Male,,Karl,Sjøulven,Lindisfarne,Nidaros,,5.0,2,1,0
185,Alvhild Ketilsdóttir,Female,,Thrall,Bison,Lindisfarne,Nidaros,None,11.7,0,2,0
186,Trygve Torsteinsson,Male,,Karl,Ormen Lange,Iceland,Borg,None,4.1,1,4,0
187,Sigurd Grimsson,Male,30.0,Thrall,Hrafnkell,Iceland,Nidaros,None,9.9,2,1,0
188,Bergljot Torsteinsdóttir,Female,31.0,Karl,Bison,Lindisfarne,Borg,None,8.5,0,3,1
189,Solveig Bjørnsdóttir,Female,,Karl,Drakvinge,Lindisfarne,Borg,,38.0,1,0,1
190,Eirik Ketilsson,Male,28.0,Hirdman,Hrafnkell,Lindisfarne,Nidaros,Leather,2.0,2,5,1
191,Erling Sigurdsson,Male,21.0,Thrall,Drakvinge,Lindisfarne,Borg,None,3.4,0,0,0
192,Ivar Ulfsson,Male,23.0,Karl,Drakvinge,Miklagard,Nidaros,,9.3,0,1,1
193,Orm Haraldsson,Male,25.0,Karl,Bison,Normandy,Nidaros,None,2.0,0,0,0
194,Kolbjørn Ragnarsson,Male,41.0,Karl,Bison,Iceland,Kaupang,Leather,5.1,1,2,1
195,Håkon Haraldsson,Male,30.0,Hirdman,Drakvinge,Normandy,Kaupang,Chainmail,21.4,2,2,0
196,Halvor Ragnarsson,Male,45.0,Jarl,Bison,Normandy,Nidaros,Lamellar,65.7,1,3,1
197,Ingrid Ragnarsdóttir,Female,23.0,Karl,Bison,Normandy,Kaupang,,24.4,1,1,0
198,Rollo Torsteinsson,Male,29.0,Thrall,Drakvinge,Lindisfarne,Nidaros,None,35.9,1,1,0
199,Bjørn Bjørnsson,Male,35.0,Karl,Bison,Lindisfarne,Nidaros,None,3.9,1,1,0
200,Ivar Sigurdsson,Male,44.0,Karl,Drakvinge,Lindisfarne,Kaupang,Leather,23.7,0,2,1
201,Jorunn Haraldsdóttir,Female,41.0,Karl,Hrafnkell,Miklagard,Kaupang,None,14.2,2,2,0
202,Asbjørn Sigurdsson,Male,56.0,Jarl,Drakvinge,Lindisfarne,Nidaros,Lamellar,320.4,2,4,1
203,Jarle Bjørnsson,Male,38.0,Karl,Bison,Iceland,Kaupang,Leather,19.0,2,1,1
204,Hilde Torsteinsdóttir,Female,16.0,Hirdman,Ormen Lange,Iceland,Nidaros,Leather,9.3,2,3,1
205,Ragnar Ulfsson,Male,,Jarl,Hrafnkell,Lindisfarne,Nidaros,,103.4,1,5,1
206,Ulf Haraldsson,Male,35.0,Karl,Bison,Miklagard,Nidaros,,6.9,2,1,0
207,Trygve Ragnarsson,Male,26.0,Hirdman,Bison,Lindisfarne,Borg,Chainmail,103.5,0,3,1
208,Ragnar Haraldsson,Male,12.0,Thrall,Sjøulven,Lindisfarne,Nidaros,,2.0,2,0,0
209,Trygve Ragnarsson,Male,36.0,Thrall,Hrafnkell,Normandy,Nidaros,None,17.7,0,0,0
210,Arne Ketilsson,Male,,Jarl,Ormen Lange,Normandy,Nidaros,Lamellar,55.1,2,6,1
211,Orm Ragnarsson,Male,29.0,Karl,Bison,Iceland,Borg,Leather,13.7,1,2,1
212,Kolbjørn Ormsson,Male,,Karl,Hrafnkell,Lindisfarne,Borg,,26.3,0,2,0
213,Sigurd Ulfsson,Male,27.0,Hirdman,Hrafnkell,Miklagard,Nidaros,Leather,4.7,2,2,0
214,Rollo Haraldsson,Male,20.0,Karl,Hrafnkell,Iceland,Nidaros,None,35.3,1,4,0
215,Torstein Ketilsson,Male,26.0,Hirdman,Ormen Lange,Normandy,Nidaros,Leather,34.5,1,6,1
216,Jorunn Torsteinsdóttir,Female,23.0,Karl,Sjøulven,Miklagard,Borg,,14.6,0,1,0
217,Knut Grimsson,Male,16.0,Karl,Drakvinge,Normandy,Kaupang,None,2.0,3,0,0
218,Kolbjørn Torsteinsson,Male,17.0,Karl,Drakvinge,Iceland,Nidaros,Leather,2.1,0,3,1
219,Svanhild Arnesdóttir,Female,24.0,Karl,Hrafnkell,Miklagard,Nidaros,Leather,76.2,1,3,1
220,Ivar Ormsson,Male,,Jarl,Drakvinge,Lindisfarne,Nidaros,,61.6,1,1,1
221,Kolbjørn Haraldsson,Male,12.0,Karl,Hrafnkell,Normandy,Nidaros,None,7.0,2,1,0
222,Gunnhild Bjørnsdóttir,Female,21.0,Hirdman,Ormen Lange,Normandy,Nidaros,Chainmail,6.8,1,1,1
223,Gunnar Grimsson,Male,26.0,Karl,Hrafnkell,Miklagard,Nidaros,None,4.6,0,2,0
224,Jorunn Ragnarsdóttir,Female,27.0,Karl,Ormen Lange,Miklagard,Nidaros,None,11.9,2,0,1
225,Torstein Bjørnsson,Male,,Thrall,Hrafnkell,Vinland,Borg,None,13.3,1,0,0
226,Kolbjørn Haraldsson,Male,38.0,Karl,Bison,Normandy,Borg,,10.9,2,2,1
227,Asbjørn Ulfsson,Male,39.0,Karl,Drakvinge,Lindisfarne,Borg,Leather,9.0,3,2,0
228,Grim Ulfsson,Male,19.0,Hirdman,Bison,Miklagard,Borg,Leather,105.5,3,6,1
229,Jarle Ketilsson,Male,18.0,Thrall,Drakvinge,Lindisfarne,Nidaros,None,2.0,0,0,0
230,Harald Grimsson,Male,,Thrall,Hrafnkell,Miklagard,Nidaros,None,11.0,0,2,0
231,Gunnar Bjørnsson,Male,32.0,Karl,Bison,Normandy,Nidaros,,27.5,1,5,1
232,Orm Torsteinsson,Male,23.0,Hirdman,Ormen Lange,Lindisfarne,Nidaros,Chainmail,81.3,0,0,1
233,Ketil Ulfsson,Male,31.0,Karl,Sjøulven,Lindisfarne,Nidaros,None,47.3,1,1,0
234,Jarle Ragnarsson,Male,16.0,Karl,Hrafnkell,Iceland,Borg,None,58.1,1,1,1
235,Erling Bjørnsson,Male,28.0,Karl,Bison,Lindisfarne,Nidaros,Leather,11.4,0,1,1
236,Thorvald Ketilsson,Male,33.0,Karl,Sjøulven,Iceland,Nidaros,Leather,43.3,2,1,0
237,Halvor Bjørnsson,Male,23.0,Thrall,Hrafnkell,Lindisfarne,Nidaros,None,2.0,0,1,0
238,Knut Grimsson,Male,13.0,Thrall,Ormen Lange,Normandy,Borg,,7.3,2,0,0
239,Harald Grimsson,Male,31.0,Hirdman,Hrafnkell,Vinland,Nidaros,None,8.7,1,3,0
240,Gunnar Sigurdsson,Male,27.0,Hirdman,Bison,Lindisfarne,Borg,Leather,55.9,0,4,1
241,Trygve Torsteinsson,Male,29.0,Hirdman,Drakvinge,Lindisfarne,Kaupang,,65.4,0,3,0
242,Gudrun Ulfsdóttir,Female,38.0,Karl,Drakvinge,Miklagard,Borg,,2.7,0,1,1
243,Ivar Bjørnsson,Male,9.0,Thrall,Drakvinge,Lindisfarne,Nidaros,None,12.5,1,0,1
244,Kolbjørn Ragnarsson,Male,40.0,Karl,Hrafnkell,Normandy,Borg,Leather,8.1,2,1,1
245,Leif Grimsson,Male,31.0,Hirdman,Drakvinge,Iceland,Kaupang,,110.7,1,5,1
